2019,중구,협회 및 단체 수리 및 기타 개인 서비스업,"2,112",779,"8,090","3,967","4,123","1,294","2,568",69,801,367,"3,514",382,"1,207","1,965","5,579",48,"1,581",99,930
2019,용산구,제조업,905,235,"2,955","1,737","1,218",769,"2,030",130,874,6,51,-,-,871,"2,602",21,297,13,56
2019,용산구,전기 가스 증기 및 공기조절 공급업,3,-,5,3,2,1,1,2,4,-,-,-,-,2,2,1,3,-,-
2019,용산구,수도 하수 및 폐기물 처리 원료 재생업,12,1,145,112,33,3,8,7,125,2,12,-,-,9,96,2,12,1,37
2019,용산구,건설업,403,64,"6,686","5,608","1,078",236,571,160,"5,674",7,441,-,-,372,"2,359",17,"3,422",14,905
2019,용산구,도매 및 소매업,"6,842","2,211","31,996","19,747","12,249","4,559","8,948","2,256","22,849",22,186,5,13,"6,232","19,208",193,"8,326",417,"4,462"
2019,용산구,운수 및 창고업,"1,205",69,"3,951","3,158",793,"1,082","1,284",89,"1,465",31,"1,159",3,43,"1,141","1,866",13,638,51,"1,447"
2019,용산구,숙박 및 음식점업,"4,594","2,190","18,282","8,418","9,864","3,985","12,019",595,"6,185",11,65,3,13,"4,178","13,939",80,698,336,"3,645"
2019,용산구,정보통신업,459,92,"9,718","6,221","3,497",158,343,281,"8,707",19,667,1,1,414,"3,929",22,"4,162",23,"1,627"
2019,용산구,금융 및 보험업,251,29,"5,090","2,202","2,888",30,53,176,"3,876",44,"1,160",1,1,85,442,21,"1,770",145,"2,878"
2019,용산구,부동산업,"1,223",460,"4,314","2,792","1,522",894,"1,449",187,"1,560",26,123,116,"1,182","1,147","3,196",27,637,49,481
2019,용산구,전문 과학 및 기술 서비스업,858,192,"15,994","8,755","7,239",442,"1,113",351,"11,414",60,"3,454",5,13,741,"4,975",69,"9,908",48,"1,111"
2019,용산구,사업시설 관리 사업 지원 및 임대 서비스업,361,109,"10,766","5,925","4,841",134,343,214,"10,186",6,157,7,80,282,"4,729",31,"3,400",48,"2,637"
2019,용산구,공공행정 국방 및 사회보장 행정,47,5,"3,101","2,006","1,095",-,-,-,-,47,"3,101",-,-,45,"3,035",1,42,1,24
2019,용산구,교육 서비스업,537,319,"6,973","2,379","4,594",367,974,63,705,90,"5,071",17,223,464,"3,877",13,"2,004",60,"1,092"
2019,용산구,보건업 및 사회복지 서비스업,562,249,"7,147","1,676","5,471",416,"2,227",6,79,61,"2,872",79,"1,969",526,"4,797",11,150,25,"2,200"
2019,용산구,예술 스포츠 및 여가관련 서비스업,401,146,"2,623","1,075","1,548",308,716,52,508,29,"1,367",12,32,362,"2,008",9,261,30,354
2019,용산구,협회 및 단체 수리 및 기타 개인 서비스업,"1,591",703,"5,494","2,756","2,738","1,158","2,263",47,508,166,"1,541",220,"1,182","1,489","4,231",34,685,68,578
2019,성동구,농업 임업 및 어업,2,-,5,4,1,-,-,2,5,-,-,-,-,2,5,-,-,-,-
2019,성동구,제조업,"4,181",850,"26,041","16,230","9,811","3,073","11,005","1,087","14,844",20,187,1,5,"3,892","19,302",158,"4,538",131,"2,201"
2019,성동구,전기 가스 증기 및 공기조절 공급업,18,1,481,420,61,1,1,14,327,3,153,-,-,13,21,-,-,5,460
2019,성동구,수도 하수 및 폐기물 처리 원료 재생업,31,5,766,596,170,3,7,16,281,12,478,-,-,26,679,2,35,3,52
2019,성동구,건설업,655,111,"6,330","5,267","1,063",333,966,318,"5,352",2,7,2,5,614,"4,979",16,622,25,729
2019,성동구,도매 및 소매업,"7,457","2,288","33,180","19,442","13,738","4,709","10,875","2,730","22,227",17,76,1,2,"6,772","22,079",290,"7,077",395,"4,024"
2019,성동구,운수 및 창고업,"2,781",135,"8,814","7,754","1,060","2,620","3,254",126,"3,289",32,"2,264",3,7,"2,713","5,562",19,"1,249",49,"2,003"
2019,성동구,숙박 및 음식점업,"3,935","2,055","12,957","5,368","7,589","3,620","10,581",306,"2,310",6,54,3,12,"3,717","11,260",26,189,192,"1,508"
2019,성동구,정보통신업,917,129,"11,676","8,083","3,593",186,495,717,"11,055",13,123,1,3,829,"9,257",36,"1,004",52,"1,415"
2019,성동구,금융 및 보험업,310,48,"3,686","1,643","2,043",71,183,189,"2,981",49,521,1,1,151,786,15,535,144,"2,365"
2019,성동구,부동산업,"1,456",491,"5,799","3,187","2,612",972,"1,631",276,"2,708",22,99,186,"1,361","1,363","4,761",25,549,68,489
2019,성동구,전문 과학 및 기술 서비스업,"1,687",311,"16,671","10,624","6,047",730,"2,110",852,"12,726",96,"1,815",9,20,"1,441","9,308",106,"5,284",140,"2,079"
2019,성동구,사업시설 관리 사업 지원 및 임대 서비스업,448,107,"16,877","8,905","7,972",171,531,265,"15,283",8,"1,033",4,30,359,"6,137",35,"8,723",54,"2,017"
2019,성동구,공공행정 국방 및 사회보장 행정,45,1,"4,127","2,687","1,440",-,-,-,-,45,"4,127",-,-,45,"4,127",-,-,-,-
2019,성동구,교육 서비스업,995,583,"11,678","4,436","7,242",727,"1,988",121,"2,115",113,"7,261",34,314,909,"6,267",16,602,70,"4,809"
2019,성동구,보건업 및 사회복지 서비스업,754,321,"9,255","1,902","7,353",582,"3,905",11,292,45,"3,040",116,"2,018",715,"6,364",5,89,34,"2,802"
2019,성동구,예술 스포츠 및 여가관련 서비스업,592,230,"2,113","1,190",923,503,"1,085",60,398,22,608,7,22,556,"1,662",8,121,28,330
2019,성동구,협회 및 단체 수리 및 기타 개인 서비스업,"2,079",897,"7,787","5,031","2,756","1,543","2,847",160,"3,206",135,901,241,833,"1,951","5,357",25,565,103,"1,865"
2019,광진구,제조업,"1,657",455,"6,935","3,686","3,249","1,400","4,694",252,"2,072",4,166,1,3,"1,613","6,093",26,576,18,266
2019,광진구,전기 가스 증기 및 공기조절 공급업,3,-,8,7,1,1,1,1,3,1,4,-,-,2,4,-,-,1,4
2019,광진구,수도 하수 및 폐기물 처리 원료 재생업,16,3,242,215,27,1,4,10,142,5,96,-,-,14,212,-,-,2,30
2019,광진구,건설업,782,100,"13,131","11,439","1,692",438,"1,596",343,"11,534",1,1,-,-,736,"7,107",26,"5,703",20,321
2019,광진구,도매 및 소매업,"5,758","2,063","19,389","10,461","8,928","4,487","10,329","1,248","8,947",22,112,1,1,"5,267","14,554",119,"1,972",372,"2,863"
2019,광진구,운수 및 창고업,"2,495",98,"5,240","4,822",418,"2,395","2,650",76,"1,854",23,734,1,2,"2,439","3,770",3,40,53,"1,430"
2019,광진구,숙박 및 음식점업,"4,786","2,509","16,639","7,207","9,432","4,501","13,200",274,"3,392",11,47,-,-,"4,581","13,712",18,147,187,"2,780"
2019,광진구,정보통신업,341,69,"3,264","1,979","1,285",124,343,205,"1,918",11,"1,000",1,3,313,"2,622",15,413,13,229
2019,광진구,금융 및 보험업,221,46,"4,117","2,114","2,003",44,114,138,"3,345",39,658,-,-,95,443,17,815,109,"2,859"
2019,광진구,부동산업,"1,345",506,"4,073","2,698","1,375","1,017","1,589",179,"1,339",16,66,133,"1,079","1,287","3,432",21,285,37,356
2019,광진구,전문 과학 및 기술 서비스업,809,126,"5,071","3,084","1,987",478,"1,361",294,"2,415",36,"1,287",1,8,721,"3,898",35,627,53,546
